"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 08 12:33:15 GMT 2021","Fri Oct 08 12:35:34 GMT 2021","139353","","Több oldalas lista bejárása ","","MultiPageList.MultiPageListTest","multiPageTest","TC-17: Több oldalas lista bejárása",""
"passed","Fri Oct 08 12:38:36 GMT 2021","Fri Oct 08 12:39:22 GMT 2021","45413","","Bejelentkezés","","Login.LoginTest","testLoginWrongPassword","TC-9: Bejelenetkezés; rossz jelszóval",""
"passed","Fri Oct 08 12:42:45 GMT 2021","Fri Oct 08 12:43:32 GMT 2021","46540","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithoutAcceptingTerms","TC-4: Regisztráció; nem bepipált Használati feltételekkel",""
"passed","Fri Oct 08 12:31:49 GMT 2021","Fri Oct 08 12:33:15 GMT 2021","85988","","Kijelentkezés","","Logout.LogoutTest","testLogout","TC-24: Kijelentkezés",""
"passed","Fri Oct 08 12:24:38 GMT 2021","Fri Oct 08 12:25:20 GMT 2021","42499","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testAcceptCookies","TC-11: Adatkezelési nyilatkozat használata; Sütik elfogadása",""
"passed","Fri Oct 08 12:35:34 GMT 2021","Fri Oct 08 12:36:22 GMT 2021","47696","","Meglévő adat módosítás","","ChangeDetails.ChangeDetailsTest","testingChanges","TC-21: Meglévő adat módosítása; Profil szerkesztése",""
"passed","Fri Oct 08 12:37:07 GMT 2021","Fri Oct 08 12:37:52 GMT 2021","44940","","Bejelentkezés","","Login.LoginTest","testLoginEmptyPassword","TC-7: Bejelentkezés; üres jelszó mezővel",""
"skipped","Fri Oct 08 12:24:38 GMT 2021","Fri Oct 08 12:24:38 GMT 2021","0","","Adatkezelési nyilatkozat használata","","PrivacyAndPolicy.PrivacyAndPolicyTest","testPrivacyTitles","TC-10: Adatkezelési nyilatkozat használata",""
"passed","Fri Oct 08 12:30:59 GMT 2021","Fri Oct 08 12:31:49 GMT 2021","49467","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testSearch","TC-18: Új adat bevitel; Keresés helyének validálásával",""
"passed","Fri Oct 08 12:28:32 GMT 2021","Fri Oct 08 12:29:20 GMT 2021","48702","","Adatok listázása","","ListingDatas.ListingDatasTest","listingForum","TC-14: Adatok listázása; Társalgó",""
"passed","Fri Oct 08 12:42:00 GMT 2021","Fri Oct 08 12:42:45 GMT 2021","44786","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedEmail","TC-3: Regisztráció; már használatban lévő E-mail címmel",""
"passed","Fri Oct 08 12:26:55 GMT 2021","Fri Oct 08 12:27:43 GMT 2021","48048","","Adatok listázása","","ListingDatas.ListingDatasTest","listingKnowledgeBase","TC-15: Adatok listázása; Tudástár",""
"passed","Fri Oct 08 12:39:22 GMT 2021","Fri Oct 08 12:40:07 GMT 2021","44869","","Bejelentkezés","","Login.LoginTest","testLoginWrongEmail","TC-8: Bejelentkezés; rossz e-mail címmel",""
"passed","Fri Oct 08 12:41:16 GMT 2021","Fri Oct 08 12:42:00 GMT 2021","44394","","Regisztráció","","Registration.RegistrationTest","testingRegistrationWithUsedNick","TC-2: Regisztráció; már létező Nicknévvel",""
"passed","Fri Oct 08 12:30:11 GMT 2021","Fri Oct 08 12:30:59 GMT 2021","48236","","Új adat bevitel","","NewDataWithSearch.NewDataWithSearchTest","testWrongSearch","TC-19: Új adat bevitel; Invalid keresési hely validálásával",""
"passed","Fri Oct 08 12:37:52 GMT 2021","Fri Oct 08 12:38:36 GMT 2021","44111","","Bejelentkezés","","Login.LoginTest","testLoginEmptyEmail","TC-6: Bejelentkezés; üres e-mail cím mezővel",""
"passed","Fri Oct 08 12:29:20 GMT 2021","Fri Oct 08 12:30:11 GMT 2021","50590","","Ismételt és sorozatos adatbevitel adatforrásból","","AddDetailsFromDataSource.AddDetailsFromDataSourceTest","testAddingDetails","TC-20: Ismételt és sorozatos adatbevitel adatforrásból; Profil kitöltése",""
"passed","Fri Oct 08 12:23:24 GMT 2021","Fri Oct 08 12:24:38 GMT 2021","73575","","Adat vagy adatok törlése","","DeleteDetails.DeleteDetailsTest","testRemovingDetails","TC-22: Adatok törlése; Profil adatainak törlése",""
"passed","Fri Oct 08 12:26:08 GMT 2021","Fri Oct 08 12:26:55 GMT 2021","46917","","Adatok listázása","","ListingDatas.ListingDatasTest","listingVideos","TC-13: Adatok listázása; Videók",""
"passed","Fri Oct 08 12:27:43 GMT 2021","Fri Oct 08 12:28:32 GMT 2021","48602","","Adatok listázása","","ListingDatas.ListingDatasTest","listingNews","TC-12: Adatok listázása; Hírek",""
"passed","Fri Oct 08 12:36:22 GMT 2021","Fri Oct 08 12:37:07 GMT 2021","45499","","Bejelentkezés","","Login.LoginTest","testLogin","TC-5: Bejelentkezés; helyes adatokkal",""
"passed","Fri Oct 08 12:25:20 GMT 2021","Fri Oct 08 12:26:08 GMT 2021","47862","","Adatok listázása","","ListingDatas.ListingDatasTest","listingArticles","TC-16: Adatok listázása; Cikkek",""
"passed","Fri Oct 08 12:40:07 GMT 2021","Fri Oct 08 12:41:16 GMT 2021","69440","","Adatok lementése felületről ","","SaveToTxt.SaveToTxtTest","saveToTxtTest","TC-23: Adatok lementése felületről; Elérhető videók listázása",""
"skipped","Fri Oct 08 12:42:45 GMT 2021","Fri Oct 08 12:42:45 GMT 2021","0","","Regisztráció","","Registration.RegistrationTest","testingValidRegistration","TC-1: Regisztráció; helyes adatokkal",""
